escala,motor,clase,nombre_consulta,regimen,repeticion,tiempo
1,estrella,agregacion_simple,consulta1,frio,0,0.015988499999366468
1,estrella,agregacion_simple,consulta1,caliente,1,0.005852099999174243
1,estrella,agregacion_simple,consulta1,caliente,2,0.004961499998898944
1,estrella,agregacion_simple,consulta1,caliente,3,0.005541700000321725
1,estrella,agregacion_simple,consulta1,caliente,4,0.005059499999333639
1,estrella,agregacion_simple,consulta1,caliente,5,0.005414199997176183
1,estrella,agregacion_simple,consulta2,frio,0,0.0030271999967226293
1,estrella,agregacion_simple,consulta2,caliente,1,0.0011642999998002779
1,estrella,agregacion_simple,consulta2,caliente,2,0.001106600000639446
1,estrella,agregacion_simple,consulta2,caliente,3,0.0010652999990270473
1,estrella,agregacion_simple,consulta2,caliente,4,0.0013389999985520262
1,estrella,agregacion_simple,consulta2,caliente,5,0.0012859000016760547
1,estrella,agregacion_simple,consulta3,frio,0,0.003956700002163416
1,estrella,agregacion_simple,consulta3,caliente,1,0.002973100003146101
1,estrella,agregacion_simple,consulta3,caliente,2,0.002838799999153707
1,estrella,agregacion_simple,consulta3,caliente,3,0.0027660000014293473
1,estrella,agregacion_simple,consulta3,caliente,4,0.002954600000521168
1,estrella,agregacion_simple,consulta3,caliente,5,0.002649800000654068
1,estrella,alta_selectividad,consulta1,frio,0,0.0014950000004319008
1,estrella,alta_selectividad,consulta1,caliente,1,0.0006118999990576413
1,estrella,alta_selectividad,consulta1,caliente,2,0.0005670999998983461
1,estrella,alta_selectividad,consulta1,caliente,3,0.00051059999896097
1,estrella,alta_selectividad,consulta1,caliente,4,0.0003966000003856607
1,estrella,alta_selectividad,consulta1,caliente,5,0.0005612999993900303
1,estrella,alta_selectividad,consulta2,frio,0,0.0003934999986086041
1,estrella,alta_selectividad,consulta2,caliente,1,0.0002634999982547015
1,estrella,alta_selectividad,consulta2,caliente,2,0.00023350000265054405
1,estrella,alta_selectividad,consulta2,caliente,3,0.00023379999765893444
1,estrella,alta_selectividad,consulta2,caliente,4,0.0002103000006172806
1,estrella,alta_selectividad,consulta2,caliente,5,0.0002077999997709412
1,estrella,alta_selectividad,consulta3,frio,0,0.0005874000016774517
1,estrella,alta_selectividad,consulta3,caliente,1,0.000638900000922149
1,estrella,alta_selectividad,consulta3,caliente,2,0.0004068000016559381
1,estrella,alta_selectividad,consulta3,caliente,3,0.0003862999983539339
1,estrella,alta_selectividad,consulta3,caliente,4,0.00038950000089243986
1,estrella,alta_selectividad,consulta3,caliente,5,0.0003699999979289714
1,estrella,alta_selectividad_join,consulta1,frio,0,0.0012017999979434535
1,estrella,alta_selectividad_join,consulta1,caliente,1,0.0007175999999162741
1,estrella,alta_selectividad_join,consulta1,caliente,2,0.0007136999993235804
1,estrella,alta_selectividad_join,consulta1,caliente,3,0.0008168000022124033
1,estrella,alta_selectividad_join,consulta1,caliente,4,0.0010995000011462253
1,estrella,alta_selectividad_join,consulta1,caliente,5,0.0008682000006956514
1,estrella,alta_selectividad_join,consulta2,frio,0,0.0013105000034556724
1,estrella,alta_selectividad_join,consulta2,caliente,1,0.0009535999997751787
1,estrella,alta_selectividad_join,consulta2,caliente,2,0.0008619000000180677
1,estrella,alta_selectividad_join,consulta2,caliente,3,0.0009939000010490417
1,estrella,alta_selectividad_join,consulta2,caliente,4,0.0008539000009477604
1,estrella,alta_selectividad_join,consulta2,caliente,5,0.0017408000021532644
1,estrella,alta_selectividad_join,consulta3,frio,0,0.001075600001058774
1,estrella,alta_selectividad_join,consulta3,caliente,1,0.0008761999997659586
1,estrella,alta_selectividad_join,consulta3,caliente,2,0.0007138000000850298
1,estrella,alta_selectividad_join,consulta3,caliente,3,0.0006648999988101423
1,estrella,alta_selectividad_join,consulta3,caliente,4,0.0006310000026132911
1,estrella,alta_selectividad_join,consulta3,caliente,5,0.0027622999987215735
1,estrella,joins_agregacion,consulta1,frio,0,0.01463569999759784
1,estrella,joins_agregacion,consulta1,caliente,1,0.010884800001804251
1,estrella,joins_agregacion,consulta1,caliente,2,0.008279099998617312
1,estrella,joins_agregacion,consulta1,caliente,3,0.009917800001858268
1,estrella,joins_agregacion,consulta1,caliente,4,0.009287400000175694
1,estrella,joins_agregacion,consulta1,caliente,5,0.009764000002178364
1,estrella,joins_agregacion,consulta2,frio,0,0.014686800001072697
1,estrella,joins_agregacion,consulta2,caliente,1,0.013337600001250394
1,estrella,joins_agregacion,consulta2,caliente,2,0.013489200002368307
1,estrella,joins_agregacion,consulta2,caliente,3,0.012665199999901233
1,estrella,joins_agregacion,consulta2,caliente,4,0.014297100002295338
1,estrella,joins_agregacion,consulta2,caliente,5,0.011953000001085456
1,estrella,joins_agregacion,consulta3,frio,0,0.004918399998132372
1,estrella,joins_agregacion,consulta3,caliente,1,0.0036534999999275897
1,estrella,joins_agregacion,consulta3,caliente,2,0.003076199998758966
1,estrella,joins_agregacion,consulta3,caliente,3,0.0032522000001335982
1,estrella,joins_agregacion,consulta3,caliente,4,0.0038931999988562893
1,estrella,joins_agregacion,consulta3,caliente,5,0.0025064000001293607
1,oltp,agregacion_simple,consulta_1,frio,0,0.07924559999810299
1,oltp,agregacion_simple,consulta_1,caliente,1,0.0016150000010384247
1,oltp,agregacion_simple,consulta_1,caliente,2,0.0014669000011053868
1,oltp,agregacion_simple,consulta_1,caliente,3,0.0016075999992608558
1,oltp,agregacion_simple,consulta_1,caliente,4,0.0017762999996193685
1,oltp,agregacion_simple,consulta_1,caliente,5,0.002078999998047948
1,oltp,agregacion_simple,consulta_2,frio,0,0.021099599998706253
1,oltp,agregacion_simple,consulta_2,caliente,1,0.004289299999072682
1,oltp,agregacion_simple,consulta_2,caliente,2,0.0028216999999131076
1,oltp,agregacion_simple,consulta_2,caliente,3,0.0027040000022680033
1,oltp,agregacion_simple,consulta_2,caliente,4,0.003038499999092892
1,oltp,agregacion_simple,consulta_2,caliente,5,0.0029013999992457684
1,oltp,agregacion_simple,consulta_3,frio,0,0.019401300000026822
1,oltp,agregacion_simple,consulta_3,caliente,1,0.003972099999373313
1,oltp,agregacion_simple,consulta_3,caliente,2,0.00398019999920507
1,oltp,agregacion_simple,consulta_3,caliente,3,0.0037808999986737035
1,oltp,agregacion_simple,consulta_3,caliente,4,0.0038906000008864794
1,oltp,agregacion_simple,consulta_3,caliente,5,0.0031369999996968545
1,oltp,alta_selectividad,consulta_1,frio,0,0.022933200001716614
1,oltp,alta_selectividad,consulta_1,caliente,1,0.00034980000054929405
1,oltp,alta_selectividad,consulta_1,caliente,2,0.00022510000053443946
1,oltp,alta_selectividad,consulta_1,caliente,3,0.00018120000095223077
1,oltp,alta_selectividad,consulta_1,caliente,4,0.00026700000307755545
1,oltp,alta_selectividad,consulta_1,caliente,5,0.00016319999849656597
1,oltp,alta_selectividad,consulta_2,frio,0,0.020268899999791756
1,oltp,alta_selectividad,consulta_2,caliente,1,0.00020599999697878957
1,oltp,alta_selectividad,consulta_2,caliente,2,0.00016790000154287554
1,oltp,alta_selectividad,consulta_2,caliente,3,0.00015580000035697594
1,oltp,alta_selectividad,consulta_2,caliente,4,0.00016039999900385737
1,oltp,alta_selectividad,consulta_2,caliente,5,0.00014369999917107634
1,oltp,alta_selectividad,consulta_3,frio,0,0.011689599999954225
1,oltp,alta_selectividad,consulta_3,caliente,1,0.00029859999995096587
1,oltp,alta_selectividad,consulta_3,caliente,2,0.00023119999968912452
1,oltp,alta_selectividad,consulta_3,caliente,3,0.0002473999993526377
1,oltp,alta_selectividad,consulta_3,caliente,4,0.00023710000095888972
1,oltp,alta_selectividad,consulta_3,caliente,5,0.00025040000036824495
1,oltp,alta_selectividad_join,consulta_1,frio,0,0.01713269999891054
1,oltp,alta_selectividad_join,consulta_1,caliente,1,0.0005619000003207475
1,oltp,alta_selectividad_join,consulta_1,caliente,2,0.0003789000002143439
1,oltp,alta_selectividad_join,consulta_1,caliente,3,0.0003285999991931021
1,oltp,alta_selectividad_join,consulta_1,caliente,4,0.0003159000007144641
1,oltp,alta_selectividad_join,consulta_1,caliente,5,0.0002882000007957686
1,oltp,alta_selectividad_join,consulta_2,frio,0,0.011656200000288663
1,oltp,alta_selectividad_join,consulta_2,caliente,1,0.0005023000012442935
1,oltp,alta_selectividad_join,consulta_2,caliente,2,0.0003507000001263805
1,oltp,alta_selectividad_join,consulta_2,caliente,3,0.0003161999993608333
1,oltp,alta_selectividad_join,consulta_2,caliente,4,0.00030280000282800756
1,oltp,alta_selectividad_join,consulta_2,caliente,5,0.00029209999775048345
1,oltp,alta_selectividad_join,consulta_3,frio,0,0.013369600001169601
1,oltp,alta_selectividad_join,consulta_3,caliente,1,0.00044999999954598024
1,oltp,alta_selectividad_join,consulta_3,caliente,2,0.0003612000000430271
1,oltp,alta_selectividad_join,consulta_3,caliente,3,0.0003361999988555908
1,oltp,alta_selectividad_join,consulta_3,caliente,4,0.0003240000005462207
1,oltp,alta_selectividad_join,consulta_3,caliente,5,0.00032310000096913427
1,oltp,joins_agregacion,consulta_1,frio,0,0.041949600003135856
1,oltp,joins_agregacion,consulta_1,caliente,1,0.016825599999719998
1,oltp,joins_agregacion,consulta_1,caliente,2,0.011262399999395711
1,oltp,joins_agregacion,consulta_1,caliente,3,0.010879299999942305
1,oltp,joins_agregacion,consulta_1,caliente,4,0.011208299998543225
1,oltp,joins_agregacion,consulta_1,caliente,5,0.010935700000118231
1,oltp,joins_agregacion,consulta_2,frio,0,0.03235090000089258
1,oltp,joins_agregacion,consulta_2,caliente,1,0.006119000001490349
1,oltp,joins_agregacion,consulta_2,caliente,2,0.006327499999315478
1,oltp,joins_agregacion,consulta_2,caliente,3,0.006368399997882079
1,oltp,joins_agregacion,consulta_2,caliente,4,0.006134100000053877
1,oltp,joins_agregacion,consulta_2,caliente,5,0.008303800001158379
1,oltp,joins_agregacion,consulta_3,frio,0,0.019045499997446314
1,oltp,joins_agregacion,consulta_3,caliente,1,0.005379900001571514
1,oltp,joins_agregacion,consulta_3,caliente,2,0.0041442000001552515
1,oltp,joins_agregacion,consulta_3,caliente,3,0.0038305000016407575
1,oltp,joins_agregacion,consulta_3,caliente,4,0.0038008000010449905
1,oltp,joins_agregacion,consulta_3,caliente,5,0.003787699999520555
5,estrella,agregacion_simple,consulta1,frio,0,0.008928500003094086
5,estrella,agregacion_simple,consulta1,caliente,1,0.005784500001027482
5,estrella,agregacion_simple,consulta1,caliente,2,0.004035599999042461
5,estrella,agregacion_simple,consulta1,caliente,3,0.003989700002421159
5,estrella,agregacion_simple,consulta1,caliente,4,0.004108199998881901
5,estrella,agregacion_simple,consulta1,caliente,5,0.0036426000006031245
5,estrella,agregacion_simple,consulta2,frio,0,0.007044600002700463
5,estrella,agregacion_simple,consulta2,caliente,1,0.006482900000264635
5,estrella,agregacion_simple,consulta2,caliente,2,0.006588500000361819
5,estrella,agregacion_simple,consulta2,caliente,3,0.007806500001606764
5,estrella,agregacion_simple,consulta2,caliente,4,0.005571800000325311
5,estrella,agregacion_simple,consulta2,caliente,5,0.005487099999299971
5,estrella,agregacion_simple,consulta3,frio,0,0.0045185999988461845
5,estrella,agregacion_simple,consulta3,caliente,1,0.0035712999997485895
5,estrella,agregacion_simple,consulta3,caliente,2,0.003434699996432755
5,estrella,agregacion_simple,consulta3,caliente,3,0.0032584000000497326
5,estrella,agregacion_simple,consulta3,caliente,4,0.003695800001878524
5,estrella,agregacion_simple,consulta3,caliente,5,0.004014300000562798
5,estrella,alta_selectividad,consulta1,frio,0,0.0007882999998400919
5,estrella,alta_selectividad,consulta1,caliente,1,0.0006521000032080337
5,estrella,alta_selectividad,consulta1,caliente,2,0.0006667999987257645
5,estrella,alta_selectividad,consulta1,caliente,3,0.0007248000001709443
5,estrella,alta_selectividad,consulta1,caliente,4,0.000625100001343526
5,estrella,alta_selectividad,consulta1,caliente,5,0.0006130000001576263
5,estrella,alta_selectividad,consulta2,frio,0,0.0005133999984536786
5,estrella,alta_selectividad,consulta2,caliente,1,0.0004259999986970797
5,estrella,alta_selectividad,consulta2,caliente,2,0.0004918000013276469
5,estrella,alta_selectividad,consulta2,caliente,3,0.00041260000216425397
5,estrella,alta_selectividad,consulta2,caliente,4,0.00042329999996582046
5,estrella,alta_selectividad,consulta2,caliente,5,0.0004576999999699183
5,estrella,alta_selectividad,consulta3,frio,0,0.0010332999991078395
5,estrella,alta_selectividad,consulta3,caliente,1,0.0009475000006204937
5,estrella,alta_selectividad,consulta3,caliente,2,0.001094100000045728
5,estrella,alta_selectividad,consulta3,caliente,3,0.0009289000008720905
5,estrella,alta_selectividad,consulta3,caliente,4,0.0008935999976529274
5,estrella,alta_selectividad,consulta3,caliente,5,0.0009065000012924429
5,estrella,alta_selectividad_join,consulta1,frio,0,0.0027432000024418812
5,estrella,alta_selectividad_join,consulta1,caliente,1,0.0015120000025490299
5,estrella,alta_selectividad_join,consulta1,caliente,2,0.001192399999126792
5,estrella,alta_selectividad_join,consulta1,caliente,3,0.0010629999997036066
5,estrella,alta_selectividad_join,consulta1,caliente,4,0.0009926999991876073
5,estrella,alta_selectividad_join,consulta1,caliente,5,0.000990500000625616
5,estrella,alta_selectividad_join,consulta2,frio,0,0.0015187999997579027
